title,company,location,link
[정규직] 텍스트 분석 신입사원 채용,(주)인사이저,서울,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40219037&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
데이터 분석 및 사업 기획 신규/경력직 모집,(주)마크클라우드,서울,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=39859327&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
[와이폴라리스] 비전 AI 개발자 / 사무직 모집,와이폴라리스 주식회사,서울,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40096027&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
[와이폴라리스] 비전 AI 개발자 모집,와이폴라리스 주식회사,서울,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40139254&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
함께 즐겁게 일하실 드론 개발/연구 엔지니어 인재 모집합니다,(주)군집텍,서울,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40191658&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
스마트팜 제어 회로 및 시스템 개발,에스지,전남,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40203779&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
(주)디구루 [데이터분석] 빅데이터 컨설턴트/분석가 모집,(주)디구루,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=39966421&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
[MILVUS] 데이터 분석 마케팅(신입),(주)밀버스,서울,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=39992788&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
[MILVUS] 데이터분석 및 시각화 담당자 / BI 영업사원 모집,(주)밀버스,서울,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40170018&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
[아이트럭] Machine Learning 개발자 모집,(주)아이트럭,서울,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40254781&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
